"Squad","Player","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"Fulham","Adama Traoré",4,6,3,13,1,7,12.5
"Fulham","Harry Wilson",4,10,3,23,0,4,0
"Leeds United","Brenden Aaronson",4,15,1,13,3,7,30
"Leeds United","Ethan Ampadu",11,4,0,6,5,6,45.5
"Leeds United","Jaka Bijol",3,1,0,0,3,0,100
"Leeds United","Jayden Bogle",11,7,2,18,5,8,38.5
"Leeds United","Sam Byram",1,0,0,0,0,0,NA
"Leeds United","Dominic Calvert-Lewin",9,8,4,0,24,37,39.3
"Leeds United","Karl Darlow",0,4,0,0,2,0,100
"Leeds United","Wilfried Gnonto",1,0,0,4,0,3,0
"Leeds United","Ilia Gruev",1,1,0,0,1,3,25
"Leeds United","Gabriel Gudmundsson",8,12,1,29,4,13,23.5
"Leeds United","Jack Harrison",0,4,0,15,1,3,25
"Leeds United","Daniel James",0,4,0,20,2,0,100
"Leeds United","James Justin",1,1,0,1,0,3,0
"Leeds United","Sean Longstaff",5,11,0,27,7,6,53.8
"Leeds United","Lukas Nmecha",4,5,0,1,7,8,46.7
"Leeds United","Noah Okafor",5,5,0,6,3,3,50
"Leeds United","Lucas Perri",0,0,0,0,2,0,100
"Leeds United","Joël Piroe",1,0,0,0,2,8,20
"Leeds United","Joe Rodon",5,7,0,0,32,21,60.4
"Leeds United","Anton Stach",13,11,0,18,9,3,75
"Leeds United","Pascal Struijk",6,5,1,0,20,20,50
"Leeds United","Ao Tanaka",3,2,0,5,3,4,42.9
"Liverpool","Alisson",0,3,0,0,1,0,100
"Liverpool","Conor Bradley",10,8,0,10,8,10,44.4
"Liverpool","Federico Chiesa",3,4,0,5,0,2,0
"Liverpool","Hugo Ekitike",9,2,1,1,11,16,40.7
"Liverpool","Harvey Elliott",0,0,0,0,0,0,NA
"Liverpool","Wataru Endo",1,1,0,0,2,1,66.7
"Liverpool","Jeremie Frimpong",1,1,0,6,0,2,0
"Liverpool","Cody Gakpo",13,15,4,36,16,10,61.5
"Liverpool","Joe Gomez",0,0,0,1,3,0,100
"Liverpool","Ryan Gravenberch",3,8,0,1,8,5,61.5
"Liverpool","Alexander Isak",1,0,0,1,4,5,44.4
"Liverpool","Curtis Jones",1,4,0,3,3,6,33.3
"Liverpool","Milos Kerkez",6,7,0,26,14,11,56
"Liverpool","Ibrahima Konaté",7,7,0,1,35,14,71.4
"Liverpool","Alexis Mac Allister",4,6,0,5,4,4,50
"Liverpool","Giorgi Mamardashvili",0,1,0,0,2,1,66.7
"Liverpool","Rio Ngumoha",1,1,0,1,0,1,0
"Liverpool","Andrew Robertson",0,0,1,10,5,4,55.6
"Liverpool","Mohamed Salah",5,7,3,27,6,10,37.5
"Liverpool","Dominik Szoboszlai",9,7,0,43,7,5,58.3
"Liverpool","Virgil van Dijk",3,6,0,1,46,13,78
"Liverpool","Florian Wirtz",6,4,0,17,2,15,11.8
"Manchester City","Rayan Aït-Nouri",4,1,0,2,3,2,60
"Manchester City","Nathan Aké",0,4,0,2,5,2,71.4
"Manchester City","Oscar Bobb",3,9,0,4,2,4,33.3
"Manchester City","Rayan Cherki",1,1,0,2,0,0,NA
"Manchester City","Rúben Dias",5,3,0,0,15,17,46.9
"Manchester City","Jeremy Doku",7,12,2,13,2,4,33.3
"Manchester City","Gianluigi Donnarumma",0,0,0,0,5,0,100
"Manchester City","Phil Foden",4,4,0,31,0,5,0
"Manchester City","Nicolás González",5,6,0,0,17,11,60.7
"Manchester City","Joško Gvardiol",1,1,0,1,6,4,60
"Manchester City","Erling Haaland",7,5,0,0,18,6,75
"Manchester City","Abdukodir Khusanov",3,3,0,0,2,3,40
"Manchester City","Mateo Kovačić",0,0,0,0,0,0,NA
"Manchester City","Rico Lewis",1,3,0,1,0,1,0
"Manchester City","Omar Marmoush",1,5,0,2,1,1,50
"Manchester City","Matheus Nunes",3,4,0,3,9,4,69.2
"Manchester City","Nico O’Reilly",5,2,0,5,8,15,34.8
"Manchester City","Tijjani Reijnders",5,7,1,14,2,3,40
"Manchester City","Rodri",1,5,0,0,8,1,88.9
"Manchester City","Sávio",2,7,3,4,0,0,NA
"Manchester City","Bernardo Silva",7,5,0,12,2,4,33.3
"Manchester City","John Stones",0,0,0,4,9,1,90
"Manchester City","James Trafford",0,1,0,0,1,0,100
"Manchester Utd","Altay Bayındır",0,3,0,0,1,0,100
