"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Aston Villa","Ian Maatsen",1,157,0,0,0,0,0,0,0.2,0.2,0.3,0.4,6,15,13,0,0,0,0,0,0.11,0.15,0.26,0.11,0,3,0,0,1.72,0,0,NA,20.9,119,143,83.2,0.3,0.2,-0.3,4,15,3,1,15,4,4,0,2,6,10,0,1,2,1,14,4,3,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Donyell Malen",3,294,2,0,2,2,0,0,0.8,0.8,0.2,1,6,7,17,0.61,0,0.61,0.61,0.61,0.25,0.06,0.31,0.25,2,9,3,33.3,2.76,0.92,0.22,0.67,13.9,44,58,75.9,0.2,0.1,-0.2,3,4,2,0,7,2,2,2,0,2,3,0,1,2,1,2,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Emiliano Martínez",6,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,183,230,79.6,0,0,0,0,7,2,0,0,0,0,0,0,0,5,1,0,4,0,0,1,0,100,5,0.71,19,14,73.7,2,28.6,0,0,0,0,NA
"Aston Villa","John McGinn",8,636,1,0,1,1,0,0,0.6,0.6,0.9,1.5,9,32,20,0.14,0,0.14,0.14,0.14,0.09,0.12,0.21,0.09,1,8,2,25,1.13,0.28,0.13,0.5,23.2,211,268,78.7,0.9,0.8,-0.9,8,14,12,6,32,9,6,6,6,15,4,0,11,12,0,24,4,7,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Tyrone Mings",6,481,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,27,3,0,0,0,0,0,0.05,0.02,0.07,0.05,0,3,0,0,0.56,0,0,NA,8.6,302,338,89.3,0.1,0.1,-0.1,3,28,1,0,27,2,1,6,4,6,30,0,3,3,0,1,21,13,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Amadou Onana",3,235,0,0,0,0,0,0,0.2,0.2,0,0.2,2,9,1,0,0,0,0,0,0.09,0,0.09,0.09,0,2,1,50,0.77,0.38,0,0,24,91,109,83.5,0,0.1,0,0,4,0,0,9,7,3,3,6,13,9,0,2,3,0,0,7,1,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Bradley Paul Burrowes",0,17,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,3,8,37.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Morgan Rogers",8,711,1,2,3,1,0,0,0.5,0.5,1,1.5,12,23,43,0.13,0.25,0.38,0.13,0.38,0.06,0.13,0.19,0.06,1,8,5,62.5,1.01,0.63,0.13,0.2,18.4,149,211,70.6,1,0.6,1,7,10,6,0,23,5,1,4,4,9,6,0,7,8,1,6,6,10,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Jadon Sancho",0,9,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0.21,0,0.21,0.21,0,1,0,0,10,0,0,NA,18.3,15,18,83.3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Youri Tielemans",4,315,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,21,10,0,0,0,0,0,0.04,0.05,0.09,0.04,0,5,1,20,1.43,0.29,0,0,18.3,195,235,83,0.2,0.4,-0.2,4,25,1,0,21,5,4,4,1,6,2,0,6,3,0,7,2,4,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
